# generated_at=2026-07-07T07:02:00.045Z
entity_kind,case_id,title,slug,spec_path,manifest_path,normalized_html,screenshot_evidence,blocker_count,coverage_broken_images,coverage_font_loading,coverage_console_errors,coverage_primary_cta,coverage_responsive_breakpoints,coverage_basic_accessibility,status,notes
template,TPL-16,Owner Manual / Technical Documentation Page,owner_manual_technical_documentation_page,frontend/apps/selenium-e2e/src/cases/templates/owner_manual_technical_documentation_page.spec.ts,Design/tut-usa/templates/owner_manual_technical_documentation_page/assets-manifest.json,Design/tut-usa/templates/owner_manual_technical_documentation_page/normalized.html,Design/tut-usa/templates/owner_manual_technical_documentation_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-17,Owners Hub Landing Page,owners_hub_landing_page,frontend/apps/selenium-e2e/src/cases/templates/owners_hub_landing_page.spec.ts,Design/tut-usa/templates/owners_hub_landing_page/assets-manifest.json,Design/tut-usa/templates/owners_hub_landing_page/normalized.html,Design/tut-usa/templates/owners_hub_landing_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-18,"Safety, Charging & Ownership How-To Page",safety_charging_ownership_how_to_page,frontend/apps/selenium-e2e/src/cases/templates/safety_charging_ownership_how_to_page.spec.ts,Design/tut-usa/templates/safety_charging_ownership_how_to_page/assets-manifest.json,Design/tut-usa/templates/safety_charging_ownership_how_to_page/normalized.html,Design/tut-usa/templates/safety_charging_ownership_how_to_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-19,Service & Maintenance Page,service_maintenance_page,frontend/apps/selenium-e2e/src/cases/templates/service_maintenance_page.spec.ts,Design/tut-usa/templates/service_maintenance_page/assets-manifest.json,Design/tut-usa/templates/service_maintenance_page/normalized.html,Design/tut-usa/templates/service_maintenance_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
template,TPL-20,Tut Sovereign,tut_sovereign,frontend/apps/selenium-e2e/src/cases/templates/tut_sovereign.spec.ts,,,,0,planned,planned,planned,planned,planned,planned,skeleton-no-capture,Generated by REB-06; source folder exists but capture evidence was skipped in REB-02.
template,TPL-21,Vehicle Model Detail Page,vehicle_model_detail_page,frontend/apps/selenium-e2e/src/cases/templates/vehicle_model_detail_page.spec.ts,Design/tut-usa/templates/vehicle_model_detail_page/assets-manifest.json,Design/tut-usa/templates/vehicle_model_detail_page/normalized.html,Design/tut-usa/templates/vehicle_model_detail_page/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-01,Account Transactional,component_library_account_transactional,frontend/apps/selenium-e2e/src/cases/components/component_library_account_transactional.spec.ts,Design/tut-usa/components/component_library_account_transactional/assets-manifest.json,Design/tut-usa/components/component_library_account_transactional/normalized.html,Design/tut-usa/components/component_library_account_transactional/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-02,Commerce Merchandising,component_library_commerce_merchandising,frontend/apps/selenium-e2e/src/cases/components/component_library_commerce_merchandising.spec.ts,Design/tut-usa/components/component_library_commerce_merchandising/assets-manifest.json,Design/tut-usa/components/component_library_commerce_merchandising/normalized.html,Design/tut-usa/components/component_library_commerce_merchandising/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-03,Community Engagement,component_library_community_engagement,frontend/apps/selenium-e2e/src/cases/components/component_library_community_engagement.spec.ts,Design/tut-usa/components/component_library_community_engagement/assets-manifest.json,Design/tut-usa/components/component_library_community_engagement/normalized.html,Design/tut-usa/components/component_library_community_engagement/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-04,Corporate Investor,component_library_corporate_investor,frontend/apps/selenium-e2e/src/cases/components/component_library_corporate_investor.spec.ts,Design/tut-usa/components/component_library_corporate_investor/assets-manifest.json,Design/tut-usa/components/component_library_corporate_investor/normalized.html,Design/tut-usa/components/component_library_corporate_investor/capture-evidence.png,3,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-05,Ctas Promotions,component_library_ctas_promotions,frontend/apps/selenium-e2e/src/cases/components/component_library_ctas_promotions.spec.ts,Design/tut-usa/components/component_library_ctas_promotions/assets-manifest.json,Design/tut-usa/components/component_library_ctas_promotions/normalized.html,Design/tut-usa/components/component_library_ctas_promotions/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-06,Editorial & Article Content,component_library_editorial_article_content,frontend/apps/selenium-e2e/src/cases/components/component_library_editorial_article_content.spec.ts,Design/tut-usa/components/component_library_editorial_article_content/assets-manifest.json,Design/tut-usa/components/component_library_editorial_article_content/normalized.html,Design/tut-usa/components/component_library_editorial_article_content/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-07,Education Learning,component_library_education_learning,frontend/apps/selenium-e2e/src/cases/components/component_library_education_learning.spec.ts,Design/tut-usa/components/component_library_education_learning/assets-manifest.json,Design/tut-usa/components/component_library_education_learning/normalized.html,Design/tut-usa/components/component_library_education_learning/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-08,Events Booking,component_library_events_booking,frontend/apps/selenium-e2e/src/cases/components/component_library_events_booking.spec.ts,Design/tut-usa/components/component_library_events_booking/assets-manifest.json,Design/tut-usa/components/component_library_events_booking/normalized.html,Design/tut-usa/components/component_library_events_booking/capture-evidence.png,2,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-09,Forms Consent,component_library_forms_consent,frontend/apps/selenium-e2e/src/cases/components/component_library_forms_consent.spec.ts,Design/tut-usa/components/component_library_forms_consent/assets-manifest.json,Design/tut-usa/components/component_library_forms_consent/normalized.html,Design/tut-usa/components/component_library_forms_consent/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-10,Layout & Page Structure,component_library_layout_page_structure,frontend/apps/selenium-e2e/src/cases/components/component_library_layout_page_structure.spec.ts,Design/tut-usa/components/component_library_layout_page_structure/assets-manifest.json,Design/tut-usa/components/component_library_layout_page_structure/normalized.html,Design/tut-usa/components/component_library_layout_page_structure/capture-evidence.png,2,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-11,Location Presence,component_library_location_presence,frontend/apps/selenium-e2e/src/cases/components/component_library_location_presence.spec.ts,Design/tut-usa/components/component_library_location_presence/assets-manifest.json,Design/tut-usa/components/component_library_location_presence/normalized.html,Design/tut-usa/components/component_library_location_presence/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-12,Media Assets,component_library_media_assets,frontend/apps/selenium-e2e/src/cases/components/component_library_media_assets.spec.ts,Design/tut-usa/components/component_library_media_assets/assets-manifest.json,Design/tut-usa/components/component_library_media_assets/normalized.html,Design/tut-usa/components/component_library_media_assets/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-13,Navigation Discovery,component_library_navigation_discovery,frontend/apps/selenium-e2e/src/cases/components/component_library_navigation_discovery.spec.ts,Design/tut-usa/components/component_library_navigation_discovery/assets-manifest.json,Design/tut-usa/components/component_library_navigation_discovery/normalized.html,Design/tut-usa/components/component_library_navigation_discovery/capture-evidence.png,1,planned,planned,planned,planned,planned,planned,skeleton,Generated by REB-06; implementation deferred to REB-12.
component-group,CMP-14,Tut Sovereign,tut_sovereign,frontend/apps/selenium-e2e/src/cases/components/tut_sovereign.spec.ts,,,,0,planned,planned,planned,planned,planned,planned,skeleton-no-capture,Generated by REB-06; source folder exists but capture evidence was skipped in REB-02.
