scenarioId,contractIndex,groupName,resourceType,componentName,componentTitle,pagePath,editedFields,controlsRendered,verifiedLayers,outcome,notes
S2.2,30,Layout & Page Structure,tut-usa/layout-page-structure/error-page-500,error-page-500,Error Page 500,/content/tut-usa/reb26-component-sweep,message,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.2,31,Layout & Page Structure,tut-usa/layout-page-structure/progress-bar,progress-bar,Progress Bar,/content/tut-usa/reb26-component-sweep,label,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.2,32,Layout & Page Structure,tut-usa/layout-page-structure/step-indicator,step-indicator,Step Indicator,/content/tut-usa/reb26-component-sweep,orientation,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,33,Editorial & Article Content,tut-usa/editorial-article-content/rich-text-block,rich-text-block,Rich Text Block,/content/tut-usa/reb26-component-sweep,alignment body,5/5,ui author-api headless graphql rendered preview publish,PASS,
S2.2,34,Editorial & Article Content,tut-usa/editorial-article-content/plain-text-block,plain-text-block,Plain Text Block,/content/tut-usa/reb26-component-sweep,alignment,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.2,35,Editorial & Article Content,tut-usa/editorial-article-content/heading,heading,Heading,/content/tut-usa/reb26-component-sweep,anchorId,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.2,36,Editorial & Article Content,tut-usa/editorial-article-content/subheading,subheading,Subheading,/content/tut-usa/reb26-component-sweep,alignment,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,37,Editorial & Article Content,tut-usa/editorial-article-content/paragraph,paragraph,Paragraph,/content/tut-usa/reb26-component-sweep,styleVariant,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,38,Editorial & Article Content,tut-usa/editorial-article-content/quote,quote,Quote,/content/tut-usa/reb26-component-sweep,authorName,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.2,39,Editorial & Article Content,tut-usa/editorial-article-content/pull-quote,pull-quote,Pull Quote,/content/tut-usa/reb26-component-sweep,alignment,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.2,40,Editorial & Article Content,tut-usa/editorial-article-content/code-snippet,code-snippet,Code Snippet,/content/tut-usa/reb26-component-sweep,code,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.3,41,Editorial & Article Content,tut-usa/editorial-article-content/markdown-block,markdown-block,Markdown Block,/content/tut-usa/reb26-component-sweep,markdown,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,42,Editorial & Article Content,tut-usa/editorial-article-content/accordion,accordion,Accordion,/content/tut-usa/reb26-component-sweep,title,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.3,43,Editorial & Article Content,tut-usa/editorial-article-content/tabs,tabs,Tabs,/content/tut-usa/reb26-component-sweep,defaultTab,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.3,44,Editorial & Article Content,tut-usa/editorial-article-content/table,table,Table,/content/tut-usa/reb26-component-sweep,caption,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.3,45,Editorial & Article Content,tut-usa/editorial-article-content/data-table,data-table,Data Table,/content/tut-usa/reb26-component-sweep,title,5/5,ui author-api headless graphql rendered preview publish,PASS,
S2.3,46,Editorial & Article Content,tut-usa/editorial-article-content/definition-list,definition-list,Definition List,/content/tut-usa/reb26-component-sweep,layout,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,47,Editorial & Article Content,tut-usa/editorial-article-content/checklist,checklist,Checklist,/content/tut-usa/reb26-component-sweep,title,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,48,Editorial & Article Content,tut-usa/editorial-article-content/numbered-steps,numbered-steps,Numbered Steps,/content/tut-usa/reb26-component-sweep,orientation,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,49,Editorial & Article Content,tut-usa/editorial-article-content/timeline,timeline,Timeline,/content/tut-usa/reb26-component-sweep,layout,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,50,Editorial & Article Content,tut-usa/editorial-article-content/stat-counter,stat-counter,Stat Counter,/content/tut-usa/reb26-component-sweep,label,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.3,51,Editorial & Article Content,tut-usa/editorial-article-content/kpi-card,kpi-card,KPI Card,/content/tut-usa/reb26-component-sweep,supportingText,5/5,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.3,52,Editorial & Article Content,tut-usa/editorial-article-content/fact-box,fact-box,Fact Box,/content/tut-usa/reb26-component-sweep,text,4/4,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.3,53,Editorial & Article Content,tut-usa/editorial-article-content/case-study-teaser,case-study-teaser,Case Study Teaser,/content/tut-usa/reb26-component-sweep,industry,5/5,ui author-api headless graphql rendered rendered-asset preview publish,PASS,
S2.3,54,Editorial & Article Content,tut-usa/editorial-article-content/case-study-detail,case-study-detail,Case Study Detail,/content/tut-usa/reb26-component-sweep,challenge,6/6,ui author-api headless graphql rendered rendered-asset preview publish,PASS,non-image asset downloadAsset persisted; no <img> expected
S2.3,55,Editorial & Article Content,tut-usa/editorial-article-content/faq,faq,FAQ,/content/tut-usa/reb26-component-sweep,title,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,56,Editorial & Article Content,tut-usa/editorial-article-content/faq-item,faq-item,FAQ Item,/content/tut-usa/reb26-component-sweep,answer category,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,57,Editorial & Article Content,tut-usa/editorial-article-content/knowledge-base-article,knowledge-base-article,Knowledge Base Article,/content/tut-usa/reb26-component-sweep,body category,5/5,ui author-api headless graphql rendered preview publish,PASS,
S2.3,58,Editorial & Article Content,tut-usa/editorial-article-content/how-to-guide,how-to-guide,How-To Guide,/content/tut-usa/reb26-component-sweep,introduction,4/4,ui author-api headless graphql rendered preview publish,PASS,
S2.3,59,Editorial & Article Content,tut-usa/editorial-article-content/glossary-entry,glossary-entry,Glossary Entry,/content/tut-usa/reb26-component-sweep,definition,3/3,ui author-api headless graphql rendered preview publish,PASS,
S2.3,60,Editorial & Article Content,tut-usa/editorial-article-content/latest-news,latest-news,Latest News,/content/tut-usa/reb26-component-sweep,source title,4/4,ui author-api headless graphql rendered preview publish,PASS,reference source produced no anchor href
